FEATURE_SET;LEADTIME_MIN;MSE_TOTAL;MSE_REG;MSE_CMV;MAE_TOTAL;MAE_REG;MAE_CMV;RMSE_TOTAL;RMSE_REG;RMSE_CMV;DELTA_RMSE;SHARE_REG_PCT;SHARE_CMV_PCT
FS6_SEV4_GIS_SENSOR_TIME;180;0,031133316200430847;0,0288409295847447;0,0045995354068104136;0,13753358190610315;0,1346835780859426;0,04514082259272771;0,1764463550216633;0,16982617461611946;0,06781987471833321;0,006620180405543852;86,24559973082923;13,754400269170771
FS7_SEV12_TIME;0;0,012028547607720711;0,012028547607720711;0,0;0,07495138826222536;0,07495138826222536;0,0;0,10967473550330865;0,10967473550330865;0,0;0,0;100,0;0,0
FS7_SEV12_TIME;15;0,011067372246641779;0,012007008191698584;0,0009463173408744517;0,07237218017090506;0,07457892892233906;0,02133491965240083;0,10520157910716825;0,10957649470437801;0,03076227138678891;-0,004374915597209761;92,69440624730075;7,305593752699243
FS7_SEV12_TIME;30;0,0117046392948874;0,012456043357545611;0,0022378150412366246;0,07672895487680306;0,07662578888748788;0,03186911162136464;0,10818798128668175;0,11160664566926833;0,04730554979319683;-0,0034186643825865753;84,77040556330606;15,229594436693942
FS7_SEV12_TIME;45;0,012616537111409842;0,011922790966516572;0,002667266678609689;0,08020250143263878;0,07613548990511312;0,03364756833632964;0,11232335959812563;0,10919153340125128;0,05164558721333013;0,0031318261968743544;81,71860082060282;18,281399179397187
FS7_SEV12_TIME;60;0,014040754406932986;0,012143850492878314;0,0056326259670327694;0,08539184400372743;0,07782000089913176;0,04757572902612381;0,11849368931269288;0,11019914016397003;0,07505082256066731;0,008294549148722852;68,31415955948705;31,68584044051294
FS7_SEV12_TIME;75;0,01713763327246369;0,010957196915484893;0,007733227217183028;0,09454501910120586;0,07280480446245512;0,054102417647413074;0,1309107836370392;0,10467663022606762;0,08793876970473846;0,026234153410971586;58,624656335826195;41,375343664173805
FS7_SEV12_TIME;90;0,02102254647676748;0,010265998186799229;0,009938458719347199;0,10251691024947594;0,07252492305556818;0,06356587131966952;0,14499153932822245;0,10132126226414291;0,0996918187182238;0,04367027706407954;50,81056241445518;49,18943758554482
FS7_SEV12_TIME;105;0,02332298685439102;0,010746888819985766;0,011938431188197342;0,107050623254256;0,07288828867609673;0,0714236163868332;0,15271865260796083;0,10366720223863364;0,10926312821898036;0,04905145036932719;47,37375896001961;52,62624103998039
FS7_SEV12_TIME;120;0,029394350477909476;0,015126238471573072;0,011634814117257667;0,12013734839188273;0,08422324508815998;0,07356819135762294;0,17144780686234945;0,12298877376237667;0,10786479554172282;0,04845903309997278;56,52333151456946;43,47666848543054
FS7_SEV12_TIME;135;0,027190047287178148;0,013065310877716499;0,01258847633546713;0,1176787670135168;0,08065269461347349;0,08179884499938198;0,16489404867119417;0,11430359083474367;0,1121983793798606;0,0505904578364505;50,92936481129835;49,07063518870165
FS7_SEV12_TIME;150;0,03664124617604924;0,01513330042508654;0,013989121560301647;0,14284057542469675;0,08432343786948153;0,08755361721484586;0,19141903295140023;0,12301748016069318;0,11827561693054764;0,06840155279070705;51,96442944436244;48,035570555637555
FS7_SEV12_TIME;165;0,03625034897893647;0,012233190952452315;0,015021838008822033;0,14428825450968547;0,07817186544027115;0,09306482527207027;0,19039524410797784;0,11060375650244576;0,12256360801160364;0,07979148760553208;44,88416053358079;55,11583946641922
FS7_SEV12_TIME;180;0,030273619040131608;0,010060431557486836;0,013987236214134023;0,12697173384510493;0,07196078741561433;0,08979281458714995;0,17399315802677875;0,10030170266494401;0,11826764652318919;0,07369145536183475;41,835373197226865;58,164626802773135
FS8_SEV12_GIS_TIME;0;0,006928633691122993;0,006928633691122993;0,0;0,06051349882258708;0,06051349882258708;0,0;0,0832384147561869;0,0832384147561869;0,0;0,0;100,0;0,0
FS8_SEV12_GIS_TIME;15;0,006473695545235447;0,00814878653001494;0,0012037709345103162;0,05855613104940419;0,06403899070191763;0,02173766336373367;0,08045927880136292;0,09027062938749757;0,034695402209951626;-0,009811350586134651;87,12896510846062;12,871034891539376
FS8_SEV12_GIS_TIME;30;0,00803268240597766;0,009056714495914659;0,00230911607487309;0,06523671859975391;0,06491183817999036;0,032316868842457214;0,08962523308743839;0,09516677201583891;0,048053262895177994;-0,005541538928400522;79,68370141986861;20,31629858013138
FS8_SEV12_GIS_TIME;45;0,008498473604719867;0,009828044526178123;0,0027142532350832287;0,0645918364721253;0,06829910294305462;0,03571648832354036;0,09218716616058803;0,09913649442146985;0,052098495516504396;-0,006949328260881821;78,359202701545;21,640797298455
FS8_SEV12_GIS_TIME;60;0,008442546551063052;0,009417606549669371;0,005016079198745702;0,06651836924379793;0,06821375704725176;0,04777234954920491;0,09188333119267636;0,09704435351770535;0,07082428396211078;-0,005161022325028991;65,24741298807545;34,752587011924554
FS8_SEV12_GIS_TIME;75;0,0093552831494719;0,007581008293690349;0,006421472821225429;0,06876353564374904;0,058099273842013674;0,051856588027663665;0,09672271268668958;0,08706898583129558;0,08013409275224515;0,009653726855394007;54,14046433253088;45,85953566746912
