SCENARIO;FEATURE_SET;LEADTIME_MIN;MSE_TOTAL;MSE_REG;MSE_CMV;MAE_TOTAL;MAE_REG;MAE_CMV;RMSE_TOTAL;RMSE_REG;RMSE_CMV;DELTA_RMSE;SHARE_REG_PCT;SHARE_CMV_PCT
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS5_SEV4_GIS_TIME;75;0,007846683691820334;0,008157001274121323;0,0008972219479492622;0,06698895831563605;0,06549071447539537;0,025649082652334846;0,08858150874657947;0,09031611857316126;0,02995366334773198;-0,0017346098265817872;90,09056960554945;9,909430394450546
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS5_SEV4_GIS_TIME;90;0,009342790545235883;0,009600606836817335;0,0012130266051479236;0,07247984083928147;0,07229347497913476;0,029926162584921093;0,09665811163702652;0,09798268641355642;0,034828531481357686;-0,0013245747765299049;88,78243273495436;11,217567265045645
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS5_SEV4_GIS_TIME;105;0,011357330502712168;0,010466592327477214;0,0016682397495584957;0,08253935426603452;0,07673714851597116;0,03430556718289588;0,1065707769640072;0,10230636503892225;0,040844090754459154;0,004264411925084949;86,25246942876517;13,74753057123484
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS5_SEV4_GIS_TIME;120;0,013225018317807324;0,011595729396576257;0,0035636198008304034;0,09005740160394789;0,08149239715846868;0,05408524747332167;0,11500007964261295;0,10768346853893711;0,05969606185361312;0,007316611103675846;76,49226391961446;23,507736080385556
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS5_SEV4_GIS_TIME;135;0,014078585013571452;0,011749259445335359;0,003985613137775825;0,09564019260203577;0,08305712529172268;0,055549135760477146;0,11865321324587653;0,10839400096562245;0,06313171261557717;0,010259212280254087;74,6701912155696;25,329808784430384
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS5_SEV4_GIS_TIME;150;0,017270706379240882;0,013428194817512526;0,00391386799198625;0,10679469638459921;0,09083575206710862;0,05335261581340499;0,13141805956275904;0,11588008809762153;0,06256091425152169;0,01553797146513751;77,4313584549901;22,56864154500989
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS5_SEV4_GIS_TIME;165;0,016200918311880336;0,013167955772743423;0,004014101288627039;0,10389962960390389;0,09100300857763398;0,0547387622498365;0,12728282803222254;0,11475171359393037;0,06335693560003544;0,012531114438292176;76,63783053280775;23,362169467192246
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS5_SEV4_GIS_TIME;180;0,019117911963827863;0,014172145547006658;0,004087269035970256;0,11283584514665022;0,09646545857141485;0,05585240851740228;0,13826753763565713;0,11904682081856137;0,0639317529555561;0,019220716817095765;77,61555269257767;22,38444730742233
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS6_SEV4_GIS_SENSOR_TIME;0;0,000417207770663895;0,000417207770663895;0,0;0,010729115671373359;0,010729115671373359;0,0;0,02042566450972636;0,02042566450972636;0,0;0,0;100,0;0,0
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS6_SEV4_GIS_SENSOR_TIME;15;0,001536882144011889;0,0014225293763251332;1,884637380731436e-05;0,02114841886848829;0,02041489799772933;0,001994045381259201;0,03920308844991539;0,03771643376997795;0,004341241044599385;0,0014866546799374367;98,69247322874811;1,30752677125188
