feature_set;N Samples;RMSE;R2;MAAPE;SkillScore;MAE;median AE;explained Variance;Bias
FS1_TIME;378137,0;0,15480624184283215;0,5516305137756148;0,5934632864280655;-0,2088395623731838;0,11445323021700482;0,08496261486973955;0,5530143904730689;0,00860040971972378
FS2_GIS_TIME;378137,0;0,15079977832006897;0,5745382520215649;0,5791890556168858;-0,1775541855442686;0,11124464863497137;0,08168580341758952;0,5755013596578589;0,00717476789697205
FS3_GIS_SENSOR_TIME;378137,0;0,07017068238640714;0,9078764821567988;0,28426526740321845;0,45205635136126354;0,04077290114300395;0,02031949920988574;0,9080212514237073;0,0027816893687165538
FS4_SEV4_TIME;378137,0;0,11237494754674358;0,7637356923717498;0,523577166680868;0,12249479867852742;0,07910242792572382;0,05614411820398957;0,7637383838035946;-0,00037928191616311437
FS5_SEV4_GIS_TIME;378137,0;0,08680313599182221;0,8590289466673297;0,4091961621538451;0,3221780745022792;0,05825132036331781;0,037325252903495205;0,8590299849055809;-0,0002355694433769761
FS6_SEV4_GIS_SENSOR_TIME;378137,0;0,06187305128456876;0,9283754046188658;0,26155547925179246;0,5168502810534781;0,03541086085681379;0,01718719355056062;0,9284365757572461;0,0018081885900050716
FS7_SEV12_TIME;378137,0;0,1040943898847862;0,7972719878491848;0,44940173687215335;0,18715540655278262;0,07017261886193539;0,044957217288160795;0,7972727631642911;0,00020356802634279557
FS8_SEV12_GIS_TIME;378137,0;0,07934890056348198;0,8822011797191829;0,3877691466102791;0,3803861582704384;0,0523952319205322;0,03278081529527488;0,8822272859409355;0,0011812517215116487
FS9_SEV12_GIS_SENSOR_TIME;378137,0;0,061769851012135384;0,9286141358008988;0,26406592710618687;0,5176561437285232;0,035565316624716285;0,01748854000868788;0,9286953592369065;0,0020835845185583853
